method,partition,scene,precision,recall,f1,iou,accuracy
YOLO,VF,3,59.3057,76.4496,65.1108,59.2360,96.4048
BiRefNet,FKIT,orange,98.9476,99.5923,99.2686,98.5480,99.9676
BiRefNet,FKIT,empanadilla,99.4172,96.8515,98.1076,96.3073,99.9377
BiRefNet,FKIT,yellow_cane,97.6502,99.7936,98.7058,97.4511,99.8857
BiRefNet,FKIT,capsicum,98.6905,99.4225,99.0531,98.1259,99.9528
BiRefNet,FKIT,chocolate_bomb,96.5774,99.3243,97.2850,95.9337,99.7458
BiRefNet,FKIT,pear,98.9271,99.0160,98.9697,97.9618,99.9659
BiRefNet,FKIT,samosa,97.7309,98.7882,97.9249,96.7372,99.8939
BiRefNet,FKIT,apple_pie,97.7421,99.7286,98.4980,97.4814,99.8947
BiRefNet,FKIT,chocolate_cake,99.3288,99.6139,99.4701,98.9473,99.9634
BiRefNet,FKIT,donut,99.2923,98.8776,99.0820,98.1836,99.9283
BiRefNet,FKIT,napolitanas,98.8237,98.9481,98.8810,97.7923,99.9524
BiRefNet,FKIT,paxoco_mini,97.8830,99.3688,98.6167,97.2785,99.9590
BiRefNet,FKIT,aguacate,98.8172,99.0300,98.9185,97.8648,99.9810
BiRefNet,FKIT,banana,99.7601,95.3783,97.5121,95.1593,99.9245
BiRefNet,FKIT,chocolate_croissant,98.9474,99.1636,99.0538,98.1270,99.9549
BiRefNet,FKIT,french_bread,98.7893,97.4780,98.0043,96.3244,99.9152
BiRefNet,FKIT,mini_chocolate_panettone,98.9556,99.8488,99.3997,98.8073,99.9692
BiRefNet,FKIT,falafel,97.9560,99.7019,98.8185,97.6685,99.9785
BiRefNet,FKIT,lemon,98.9994,99.4144,99.2040,98.4215,99.9749
BiRefNet,FKIT,durum,98.4278,98.8944,98.6553,97.3501,99.8892
BiRefNet,FKIT,apple,99.9420,98.2137,99.0696,98.1574,99.9272
FoodMem,FKIT,orange,98.8245,99.9922,99.4047,98.8168,99.9733
FoodMem,FKIT,empanadilla,99.4624,97.2995,98.3490,96.7857,99.9463
FoodMem,FKIT,yellow_cane,46.7113,2.5424,4.7748,2.5424,96.1680
FoodMem,FKIT,capsicum,98.2029,99.8935,99.0401,98.1000,99.9518
FoodMem,FKIT,chocolate_bomb,99.3409,99.4966,99.4174,98.8437,99.9769
FoodMem,FKIT,pear,98.5521,99.7019,99.1214,98.2600,99.9666
FoodMem,FKIT,samosa,98.9453,99.7970,99.3674,98.7439,99.9768
FoodMem,FKIT,apple_pie,99.3524,99.8308,99.5904,99.1847,99.9834
FoodMem,FKIT,chocolate_cake,98.2450,99.9942,99.1103,98.2393,99.9380
FoodMem,FKIT,donut,98.6974,99.9611,99.3245,98.6594,99.9467
FoodMem,FKIT,napolitanas,99.1763,99.8760,99.5246,99.0540,99.9790
FoodMem,FKIT,paxoco_mini,99.3479,99.0927,99.2136,98.4447,99.9759
FoodMem,FKIT,aguacate,98.4258,99.8438,99.1268,98.2706,99.9838
FoodMem,FKIT,banana,97.6063,99.4492,98.5088,97.0697,99.9534
FoodMem,FKIT,chocolate_croissant,99.3486,99.5926,99.4686,98.9446,99.9746
FoodMem,FKIT,french_bread,98.9339,98.9007,98.9133,97.8583,99.9538
FoodMem,FKIT,mini_chocolate_panettone,99.6247,49.7979,64.1708,49.7500,98.5978
FoodMem,FKIT,falafel,99.5789,99.0761,99.3216,98.6568,99.9870
FoodMem,FKIT,lemon,97.3815,99.9992,98.6719,97.3807,99.9592
FoodMem,FKIT,durum,97.5443,99.9488,98.7297,97.4963,99.8973
FoodMem,FKIT,apple,99.9205,99.1242,99.5198,99.0455,99.9615
SETR_MLA,FKIT,orange,99.1362,96.6653,97.8362,95.8193,99.9126
SETR_MLA,FKIT,empanadilla,98.4575,90.6739,94.2225,89.3598,99.7785
SETR_MLA,FKIT,yellow_cane,88.1710,23.6930,34.2974,23.5462,96.9355
SETR_MLA,FKIT,capsicum,97.7845,97.5903,97.6584,95.4550,99.8833
SETR_MLA,FKIT,chocolate_bomb,99.1734,93.4783,96.1731,92.7322,99.8503
SETR_MLA,FKIT,pear,94.4212,94.9998,94.3360,89.8682,99.7935
SETR_MLA,FKIT,samosa,98.5103,94.9897,96.5963,93.6061,99.8768
SETR_MLA,FKIT,apple_pie,97.6695,98.9416,98.2630,96.6513,99.9272
SETR_MLA,FKIT,chocolate_cake,94.9233,98.6002,96.4060,93.6570,99.7066
SETR_MLA,FKIT,donut,99.4321,91.6341,95.0009,91.0954,99.6180
SETR_MLA,FKIT,napolitanas,98.8834,85.8119,91.4286,84.9479,99.6751
SETR_MLA,FKIT,paxoco_mini,98.1915,95.9852,96.9389,94.2694,99.8985
SETR_MLA,FKIT,aguacate,97.1820,96.7594,96.8359,94.0454,99.9410
SETR_MLA,FKIT,banana,93.7981,97.6955,95.6525,91.7063,99.8607
SETR_MLA,FKIT,chocolate_croissant,97.6813,92.1411,94.5614,90.0882,99.7467
SETR_MLA,FKIT,french_bread,99.0035,93.5901,96.1761,92.7110,99.8400
SETR_MLA,FKIT,mini_chocolate_panettone,94.4506,38.7903,51.3769,38.6641,98.3930
SETR_MLA,FKIT,falafel,97.4367,94.1079,95.2326,91.7036,99.7796
SETR_MLA,FKIT,lemon,95.4983,99.0181,97.1670,94.5620,99.9097
SETR_MLA,FKIT,durum,98.4431,91.4802,94.5893,90.0752,99.5946
SETR_MLA,FKIT,apple,98.2165,98.1115,97.8029,96.3478,99.6635
SF+X2,FKIT,orange,98.4922,99.9990,99.2395,98.4912,99.9652
SF+X2,FKIT,empanadilla,98.5775,98.5830,98.5724,97.2031,99.9513
SF+X2,FKIT,yellow_cane,98.9506,94.2416,95.0606,93.2046,99.6648
SF+X2,FKIT,capsicum,97.1859,99.9715,98.5561,97.1600,99.9252
SF+X2,FKIT,chocolate_bomb,98.0404,99.5501,98.7382,97.6226,99.9532
SF+X2,FKIT,pear,96.0631,99.9869,97.9809,96.0511,99.9164
SF+X2,FKIT,samosa,98.7245,99.8380,99.2768,98.5650,99.9738
SF+X2,FKIT,apple_pie,98.3183,99.9854,99.1431,98.3046,99.9669
SF+X2,FKIT,chocolate_cake,98.5290,99.9910,99.2532,98.5203,99.9482
SF+X2,FKIT,donut,98.7526,99.9527,99.3483,98.7063,99.9486
SF+X2,FKIT,napolitanas,96.6603,99.6772,97.9377,96.4082,99.8660
SF+X2,FKIT,paxoco_mini,92.2751,99.7814,95.1315,92.1452,99.7814
SF+X2,FKIT,aguacate,98.3845,99.8554,99.1118,98.2412,99.9835
SF+X2,FKIT,banana,98.1334,99.4327,98.7704,97.5764,99.9612
SF+X2,FKIT,chocolate_croissant,99.7788,94.6420,96.8704,94.4235,99.8743
SF+X2,FKIT,french_bread,98.8259,99.1774,98.9986,98.0230,99.9564
SF+X2,FKIT,mini_chocolate_panettone,0.0000,0.0000,0.0000,0.0000,97.3888
SF+X2,FKIT,falafel,87.2252,99.9997,91.1185,87.2252,99.6722
SF+X2,FKIT,lemon,97.0629,99.9990,98.5074,97.0620,99.9543
SF+X2,FKIT,durum,95.1519,55.4947,61.6480,54.8860,98.0353
SF+X2,FKIT,apple,99.9638,98.7486,99.3509,98.7129,99.9480
SeTM+S2,FKIT,orange,54.2248,54.9476,53.8289,40.5461,97.8824
SeTM+S2,FKIT,empanadilla,38.8294,37.3341,37.1445,24.7058,97.6219
SeTM+S2,FKIT,yellow_cane,9.1702,0.6388,1.1860,0.6321,96.0474
SeTM+S2,FKIT,capsicum,46.3901,46.9499,46.2209,32.9820,97.3053
SeTM+S2,FKIT,chocolate_bomb,44.2931,42.0890,39.9215,28.5019,97.1395
SeTM+S2,FKIT,pear,45.5866,45.9580,44.9038,32.5865,98.0504
SeTM+S2,FKIT,samosa,35.0717,35.2003,34.3286,23.5758,97.5223
SeTM+S2,FKIT,apple_pie,36.8909,37.5686,33.9627,23.0937,96.9166
SeTM+S2,FKIT,chocolate_cake,45.2311,45.8560,44.1512,31.3021,95.9508
SeTM+S2,FKIT,donut,50.8867,50.8982,49.2653,35.5516,96.0104
SeTM+S2,FKIT,napolitanas,53.8439,53.8979,53.2498,39.0175,97.8690
SeTM+S2,FKIT,paxoco_mini,33.5032,32.0364,32.1935,22.0167,97.8639
SeTM+S2,FKIT,aguacate,43.8967,41.8910,42.6619,32.4885,99.0100
SeTM+S2,FKIT,banana,28.3617,29.9258,28.8954,18.2271,97.7379
SeTM+S2,FKIT,chocolate_croissant,45.1108,44.2552,43.8163,29.8190,97.2953
SeTM+S2,FKIT,french_bread,47.9351,47.7890,44.0152,30.8304,97.0913
SeTM+S2,FKIT,mini_chocolate_panettone,50.2229,18.3730,26.4264,16.8019,97.3764
SeTM+S2,FKIT,falafel,27.5953,27.6517,26.8207,18.5565,98.6182
SeTM+S2,FKIT,lemon,32.7547,34.5263,33.1630,23.2368,97.9048
SeTM+S2,FKIT,durum,54.2531,54.7053,53.1627,39.5442,96.0581
SeTM+S2,FKIT,apple,69.5826,67.6311,68.1059,54.5449,97.4967
SeTM+S3,FKIT,orange,98.5219,99.7368,99.1233,98.2632,99.9615
SeTM+S3,FKIT,empanadilla,99.9627,94.4952,97.1358,94.4624,99.9025
SeTM+S3,FKIT,yellow_cane,72.9648,3.1425,5.9299,3.1425,96.1779
SeTM+S3,FKIT,capsicum,98.7388,99.2144,98.9749,97.9719,99.9487
SeTM+S3,FKIT,chocolate_bomb,99.8737,96.7687,98.2898,96.6489,99.9307
SeTM+S3,FKIT,pear,99.2464,96.8200,98.0038,96.1033,99.9294
SeTM+S3,FKIT,samosa,99.5856,98.1003,98.8339,97.6981,99.9583
SeTM+S3,FKIT,apple_pie,99.8090,98.4778,99.1376,98.2912,99.9605
SeTM+S3,FKIT,chocolate_cake,95.0539,99.9960,97.4572,95.0502,99.8178
SeTM+S3,FKIT,donut,99.6336,98.3333,98.9763,97.9771,99.9194
SeTM+S3,FKIT,napolitanas,99.3069,98.6564,98.9753,97.9755,99.9566
SeTM+S3,FKIT,paxoco_mini,99.8223,96.4590,98.1059,96.2905,99.9421
SeTM+S3,FKIT,aguacate,99.8990,95.6852,97.7250,95.5884,99.9639
SeTM+S3,FKIT,banana,93.5770,99.5123,96.4378,93.1372,99.8855
SeTM+S3,FKIT,chocolate_croissant,99.7137,97.6721,98.6800,97.3984,99.9383
SeTM+S3,FKIT,french_bread,99.0517,97.5253,98.2749,96.6206,99.9270
SeTM+S3,FKIT,mini_chocolate_panettone,99.9992,33.5960,48.1443,33.5959,98.2096
SeTM+S3,FKIT,falafel,99.9907,94.1773,96.9802,94.1688,99.9506
SeTM+S3,FKIT,lemon,95.7073,99.9772,97.7883,95.6856,99.9317
SeTM+S3,FKIT,durum,95.7962,99.8474,97.7747,95.6539,99.8162
SeTM+S3,FKIT,apple,99.8795,98.1279,98.9940,98.0106,99.9207
Seg+S3,FKIT,orange,99.9924,21.3237,34.6470,21.3236,98.2183
Seg+S3,FKIT,empanadilla,93.7484,14.2421,23.4189,14.2418,98.2789
Seg+S3,FKIT,yellow_cane,0.0000,0.0000,0.0000,0.0000,96.0333
Seg+S3,FKIT,capsicum,99.5860,15.2895,25.3034,15.2820,97.9093
Seg+S3,FKIT,chocolate_bomb,8.7821,1.3298,2.2205,1.1984,95.1748
Seg+S3,FKIT,pear,99.1703,0.6148,1.2188,0.6148,98.2234
Seg+S3,FKIT,samosa,99.9760,58.2302,71.8813,58.2174,99.2481
Seg+S3,FKIT,apple_pie,0.0000,0.0000,0.0000,0.0000,97.4586
Seg+S3,FKIT,chocolate_cake,99.9991,33.7966,46.9326,33.7962,97.6684
Seg+S3,FKIT,donut,99.9701,69.8073,81.0582,69.7876,98.8094
Seg+S3,FKIT,napolitanas,99.9730,56.1316,71.0600,56.1227,99.0559
Seg+S3,FKIT,paxoco_mini,99.9463,24.9605,38.1541,24.9601,98.7620
Seg+S3,FKIT,aguacate,0.3164,0.0049,0.0095,0.0048,99.0775
Seg+S3,FKIT,banana,88.8519,22.2480,24.8828,21.9447,98.8179
Seg+S3,FKIT,chocolate_croissant,90.9699,2.6863,5.0424,2.6861,97.5760
Seg+S3,FKIT,french_bread,99.7039,47.7395,61.7088,47.7387,98.8949
Seg+S3,FKIT,mini_chocolate_panettone,0.0000,0.0001,0.0000,0.0000,96.3689
Seg+S3,FKIT,falafel,99.9976,28.6945,43.5558,28.6941,99.3371
Seg+S3,FKIT,lemon,99.0260,0.8469,1.6734,0.8469,98.4512
Seg+S3,FKIT,durum,87.1721,42.1198,49.7767,42.0227,97.3836
Seg+S3,FKIT,apple,77.9686,0.1588,0.3159,0.1588,95.9819
SegMan_ADE,FKIT,orange,25.2026,5.9566,8.2213,5.8964,97.8911
SegMan_ADE,FKIT,empanadilla,42.9655,13.9932,17.5747,13.2572,98.3249
SegMan_ADE,FKIT,yellow_cane,0.0000,0.0000,0.0000,0.0000,96.0333
SegMan_ADE,FKIT,capsicum,34.0374,13.4955,16.8575,13.2800,97.8090
SegMan_ADE,FKIT,chocolate_bomb,30.3237,10.7893,12.7618,10.4425,98.1230
SegMan_ADE,FKIT,pear,46.9243,20.1270,24.9209,19.4669,98.4822
SegMan_ADE,FKIT,samosa,44.1049,14.4403,19.0432,14.2399,98.4032
SegMan_ADE,FKIT,apple_pie,58.0568,20.4695,26.5804,20.3357,98.3025
SegMan_ADE,FKIT,chocolate_cake,83.2388,38.6101,49.0552,38.5800,97.9168
SegMan_ADE,FKIT,donut,91.6886,43.0743,54.1672,42.7453,97.8462
SegMan_ADE,FKIT,napolitanas,74.1122,26.1231,35.7334,26.1081,98.3803
SegMan_ADE,FKIT,paxoco_mini,52.2750,24.9042,28.1550,22.1220,98.7248
SegMan_ADE,FKIT,aguacate,18.4415,8.0074,9.3762,7.2194,99.1246
SegMan_ADE,FKIT,banana,0.5183,0.0325,0.0552,0.0325,98.4336
SegMan_ADE,FKIT,chocolate_croissant,12.9234,1.4714,2.3673,1.4714,97.5531
SegMan_ADE,FKIT,french_bread,79.0935,38.3562,47.4014,37.3349,98.5938
SegMan_ADE,FKIT,mini_chocolate_panettone,7.1921,1.9008,2.7011,1.8997,97.4271
SegMan_ADE,FKIT,falafel,21.6294,6.6430,8.6219,6.3552,99.0755
SegMan_ADE,FKIT,lemon,58.2019,24.1037,29.4720,23.3682,98.8703
SegMan_ADE,FKIT,durum,83.6079,44.1710,54.2084,43.8979,97.7555
SegMan_ADE,FKIT,apple,2.9831,0.4514,0.6659,0.4514,95.9883
SegMan_FS,FKIT,orange,93.3113,99.7883,95.9719,93.1114,99.7502
SegMan_FS,FKIT,empanadilla,93.5540,93.0703,92.6867,88.0790,99.7181
SegMan_FS,FKIT,yellow_cane,33.4381,3.9614,6.2326,3.8443,95.8961
SegMan_FS,FKIT,capsicum,92.2550,99.4760,95.5145,91.7863,99.7513
SegMan_FS,FKIT,chocolate_bomb,73.5767,53.6706,55.6291,50.4622,98.8897
SegMan_FS,FKIT,pear,91.0180,94.1744,91.2894,85.6567,99.6245
SegMan_FS,FKIT,samosa,93.1007,95.6614,93.5848,89.2779,99.7674
SegMan_FS,FKIT,apple_pie,96.1466,95.1313,95.1779,91.4387,99.8073
SegMan_FS,FKIT,chocolate_cake,89.1371,99.3395,92.4035,88.5393,99.2896
SegMan_FS,FKIT,donut,89.4414,96.0774,90.2221,85.8827,98.8954
SegMan_FS,FKIT,napolitanas,83.8212,87.5699,82.4324,75.2786,99.1420
SegMan_FS,FKIT,paxoco_mini,91.8184,86.8777,86.8381,80.5388,99.6798
SegMan_FS,FKIT,aguacate,85.7578,87.0276,81.2477,73.7054,99.3453
SegMan_FS,FKIT,banana,81.7716,98.4957,87.3645,80.6822,99.3118
SegMan_FS,FKIT,chocolate_croissant,74.9899,43.7454,49.0058,38.0738,97.9198
SegMan_FS,FKIT,french_bread,92.1084,96.8597,93.7226,89.2933,99.7061
SegMan_FS,FKIT,mini_chocolate_panettone,56.4293,19.1398,24.9545,19.0066,97.3570
SegMan_FS,FKIT,falafel,86.1742,91.2558,85.4785,79.0562,99.6565
SegMan_FS,FKIT,lemon,84.5933,99.7223,89.0980,84.4549,99.4536
SegMan_FS,FKIT,durum,95.6113,91.7647,92.8972,88.3369,99.4204
SegMan_FS,FKIT,apple,95.8660,98.2631,96.7974,94.2637,99.7405
Y+S3,FKIT,orange,95.0074,99.9858,97.4276,94.9939,99.8842
Y+S3,FKIT,empanadilla,90.4810,99.9245,94.9529,90.4176,99.8076
Y+S3,FKIT,yellow_cane,98.3284,99.2618,98.7905,97.6119,99.9069
Y+S3,FKIT,capsicum,95.1561,99.9063,97.4677,95.0690,99.8702
Y+S3,FKIT,chocolate_bomb,98.1625,14.3302,23.2960,14.2978,97.8459
Y+S3,FKIT,pear,92.4310,99.9443,96.0324,92.3816,99.8625
Y+S3,FKIT,samosa,92.1910,99.9470,95.8887,92.1423,99.8542
Y+S3,FKIT,apple_pie,93.1112,99.9993,96.4165,93.1106,99.8585
Y+S3,FKIT,chocolate_cake,96.5501,99.5655,98.0324,96.1443,99.8620
Y+S3,FKIT,donut,97.7984,54.6240,69.5807,53.9456,98.1304
Y+S3,FKIT,napolitanas,93.5397,99.9743,96.6421,93.5164,99.8502
Y+S3,FKIT,paxoco_mini,95.3836,94.9680,95.0807,90.7511,99.8571
Y+S3,FKIT,aguacate,93.1118,99.9101,96.3813,93.0304,99.9301
Y+S3,FKIT,banana,91.7084,99.7261,95.5367,91.4690,99.8550
Y+S3,FKIT,chocolate_croissant,97.7834,76.3327,85.4597,75.0054,99.3653
Y+S3,FKIT,french_bread,86.9617,99.3857,91.7259,86.5083,99.5615
Y+S3,FKIT,mini_chocolate_panettone,93.2407,99.4199,96.2054,92.7307,99.7961
Y+S3,FKIT,falafel,90.9320,99.9950,95.2346,90.9275,99.9110
Y+S3,FKIT,lemon,95.0367,99.9623,97.4289,95.0009,99.9219
Y+S3,FKIT,durum,98.2682,99.0953,98.6760,97.3893,99.8871
Y+S3,FKIT,apple,99.6145,98.8784,99.2427,98.4987,99.9405
YOLO,FKIT,orange,71.6026,78.4021,73.8087,71.5859,97.6287
YOLO,FKIT,empanadilla,65.5445,76.6547,69.5620,65.0615,99.0800
YOLO,FKIT,yellow_cane,14.9596,15.8692,14.6592,13.8502,95.4374
YOLO,FKIT,capsicum,73.5622,79.6646,73.8829,70.8432,92.8169
YOLO,FKIT,chocolate_bomb,57.7118,44.3322,44.7227,40.7468,98.1085
YOLO,FKIT,pear,39.3785,49.2441,40.6896,38.7311,76.4948
YOLO,FKIT,samosa,61.8699,71.9954,65.6004,61.8349,98.9308
YOLO,FKIT,apple_pie,65.1832,76.9353,68.8478,65.0385,98.8740
YOLO,FKIT,chocolate_cake,43.0456,47.0521,44.3601,42.6353,95.8278
YOLO,FKIT,donut,91.4254,65.2537,73.6173,62.0563,98.1052
YOLO,FKIT,napolitanas,76.3352,91.4681,81.0412,76.2330,98.3609
YOLO,FKIT,paxoco_mini,64.6727,73.0474,67.3126,63.6138,99.2089
YOLO,FKIT,aguacate,23.7214,31.1539,24.7575,23.6440,76.2583
YOLO,FKIT,banana,41.3152,45.2984,43.0366,40.9859,98.9712
YOLO,FKIT,chocolate_croissant,32.0330,28.1751,26.6485,22.9605,96.4507
YOLO,FKIT,french_bread,78.9211,92.4652,83.1510,78.1569,99.1351
YOLO,FKIT,mini_chocolate_panettone,49.8258,54.9485,51.8291,49.6381,98.5370
YOLO,FKIT,falafel,57.1051,71.1459,59.9643,57.0241,93.8707
YOLO,FKIT,lemon,73.7992,86.6882,76.8272,73.7010,94.2841
YOLO,FKIT,durum,75.7690,71.0695,69.3977,63.3586,97.0434
YOLO,FKIT,apple,95.8404,96.1183,95.7974,94.6725,99.4323
